,index,class_name
0,1,FRENCH PHONETICS
1,2,ELEMENTARY ITALIAN 2
2,3,DEMOCRACY AND SOCIAL CHOICE
3,4,FIN DERIV & FIN ENGINEERING
4,5,MEET THE BEATLES AND THE 1960S
5,6,THE CHALLENGES OF DEVELOPMENT
6,7,ABNORMAL PSYCHOLOGY
7,8,ADVANCED MULTIMEDIA PRODUCTION
8,9,LINGUISTIC RIGHTS
9,10,EGR SUSTAIN DES & GLOBAL COMM
10,11,ANIMATED FILM
11,12,READING THEMATICALLY
12,13,THE WIRE
13,14,INVESTMENT STRATEGIES
14,15,LISTEN TO MUSIC: EUR/AMER TRAD
15,16,NAVAL SHIP SYSTEMS
16,17,"MARX, NIETZSCHE, FREUD"
17,18,ITALIAN LIT AND CIV (TOP)
18,19,"MUSIC, SOUND, AND STYLE"
19,20,CHRISTIAN THEOLOGICAL DEBATES
20,21,INTL CONFLICT RESOLUTION
21,22,MARXISM AND SOCIETY
22,23,TABOO MARKETS
23,24,GTWY SEMINAR: TOPICS IN HIST
24,25,INTRO ECON & BUSINESS CULTURES
25,26,GLOBAL CHINESE CITIES
26,27,BLK PERFORM: M. JACKSON/PRINCE
27,28,DEMOC & CONSTITUTIONALISM
28,29,REPERTORY: JAZZ DANCE
29,30,THE ATLANTIC SLAVE TRADE
30,31,POL ECONOMY INTL RELATIONS
31,32,DATA ANALY/STAT INFER
32,33,ISLAM
33,34,ADV GER II: TEXT AND CONTEXT
34,35,BASS CONNECTIONS: PROJECTS
35,36,ALCOHOL: BRAIN/INDIV/SOC
36,37,EAST/WEST ETHICS & POLITICS
37,38,THEORY AND SOCIETY
38,39,"SOC CHNG, MKTS, ECON IN CHINA"
39,40,MINOR JAPAN
40,41,CHOREOGRAPHY
41,42,DANCE COMPOSITION
42,43,INTERMEDIATE KOREAN
43,44,DUKE-ADM ST ABR: SP TOP
44,45,ENVIRONMENTAL LAW AND POLICY
45,46,METEORITICS/SOLAR SYSTEM HIST
46,47,BEHAVIOR DECISION THEORY
47,48,GANDHI: IMAGE AND REFLECTION
48,49,STEM CELL COURSE
49,50,U S LAT LIT/CUL STUDIES (TOP)
50,51,INTRO TO COMPUTER SCIENCE
51,52,ART OF GREECE AND ROME
52,53,FILM GENRES
53,54,MATHEMATICAL BIOLOGY
54,55,EARLY GREEK ARCHAEOLOGY
55,56,RELATIONSHIPS ACROSS LIFESPAN
56,57,STATISTICAL DECISION ANALYSIS
57,58,LEGAL ISS IN EDU
58,59,SEM MED/RENAISS ST (TOP)
59,60,ENERGY IN THE 21ST CENTURY
60,61,ALGORITHMS AND JOURNALISM
61,62,STRATEGIC FINANCIAL MANAGEMENT
62,63,HIP HOP AND RELIGION
63,64,ORIGINS OF MODERN AMERICA
64,65,BLACK MUSLIMS
65,66,BRITAIN IN AGE OF AMERICAN REV
66,67,PSYCH OF CONSUMERS
67,68,INTRO TO PERFORMANCE STUDIES
68,69,EUROPE IN TWENTIETH CENT
69,70,"PEOPLE, PLANTS, AND POLLUTION"
70,71,ORGANIZATIONS/MANAGEMENT
71,72,CONTEMP AMERICAN WRITERS
72,73,ADAPTIVE LEADERSHIP
73,74,CONNECTIONS IN GLOBAL HEALTH
74,75,WOMEN IN THE PUBLIC SPHERE
75,76,"POST WAR EUROPE, 1945-1968"
76,77,WRITING THE TV DRAMA SERIES
77,78,CARIBBEAN 1492-1700
78,79,CHINESE ECONOMIC GLOBALIZATION
79,80,GENDER AND POPULAR CULTURE
80,81,ISIS RESEARCH IND STUDY
81,82,LEADERSHIP AND MANAGEMENT
82,83,BOOK ART: TYPOGRAPHY AS IMAGE
